id,WhatCountryDoYouLiveIn,HowOldAreYou,WhatIsYourGender,ToWhatExtentDoYouFeelFEARDueToTheCoronavirus,ToWhatExtentDoYouFeelANXIOUSDueToTheCoronavirus,ToWhatExtentDoYouFeelANGRYDueToTheCoronavirus,ToWhatExtentDoYouFeelHAPPYDueToTheCoronavirus,ToWhatExtentDoYouFeelSADDueToTheCoronavirus,WhichEmotionisHavingTheBiggestImpactOnYou,WhatMakesYouFeelThatWay,WhatBringsYouTheMostMeaningDuringTheCoronavirusOutbreak,WhatIsYourOccupation
129,Canada,28,Female,3,5,2,1,3,Anxiety,"Not Knowing. not knowing the ultimate impact, the timeline, how some of the more vulnerable people I'm friends with are doing or will be affected ).  not fully knowing what I should be doing work wise.  As well as worrying about my family & friends in Serbia & Russia (where I'm from). And feeling helpless / not able to do a lot (and not very full energy a lot of the time) ","It's a combo of things: reconnecting with old friends, or getting closer to people I haven't interacted with a lot, doing something tangible to help someone, having alone time to read/do silly art projects/watch t.v, and also living with my roommates who I'm friends with has been really good, I think it'd be a lot tougher if I was alone.   ","Theatre Creator/Community Artist "
133,USA,35,Female,3,3,1,1,2,Anxiety,"Worried about the health of my family and others ",Family,"Career counselor"
142,Romania,28,Female,5,5,5,2,4,Anxiety,"Staying in house 24/24",Family,Teacher
143,Romania,24,Female,3,4,2,3,3,Anxiety,"The fact that this virus keeps me apart from my fiance, and we're stuck in different parts of the world. And the thoughts that I am making by myself, especially about the university and how it will affect me, considering that I am in my last year and I need to give my final exam. ","I am trying to spend my time with different activities like reading, exercising, painting, cooking ,watching series, documetaries and movies",Student
144,USA,25,Female,3,4,3,2,4,Anxiety,"I feel like I wake up every day to new and crazier news, and I never know when things have peaked, or if there will be more coming. ",Family,"Fellow at a University"
148,Switzerland,29,Female,4,5,2,2,4,Anxiety,"Feeling trapped ",Family,"Account manager"
149,Switzerland,30,Female,3,3,2,2,3,Anxiety,na,Friends,"Human Resources"
151,Switzerland,33,Female,3,4,1,1,4,Anxiety,"Not knowing",Family,"HR Partner"
152,"Switzerland ",28,Female,3,4,2,2,2,Anxiety,"uncertainty about the future, concern for loved ones","Being alone","Sales Professional "
155,Switzerland,30,Female,4,5,3,2,3,Anxiety,"Impacting future plans",Family,-1
156,Switzerland,31,Female,4,4,2,1,5,Anxiety,"The closures of pretty much everything, made travel plans but cant go now, cant be with family as the result ",Friends,"Project Manager "
158,Switzerland,26,Female,2,4,4,2,4,Anxiety,"I feel there is a lot of uncertainty around my job, family and loved ones and my ability to see them and ability to fulfill my dreams. I remember the impacts of the 2008 financial crisis and the thought of going back to that economic state gives me a great amount of anxiety because it was very difficult financially. ",Family,"Acceleration Team Fellow at the World Economic Forum"
160,Switzerland,28,Female,3,4,2,1,3,Anxiety,"The uncertainty",Family,WEF
173,USA,28,Female,3,3,2,1,3,Anxiety,"The unknown ","Praying ","Teacher "
174,Cyprus,29,Female,3,2,4,4,5,Anxiety,"The fear of the unknown is the hardest one for me to deal with",Family,"Programs Officer"
182,Rwanda,22,Female,5,4,4,1,5,Anxiety,"Droping my courses ",Family,Student
183,Rwanda,18,Female,5,5,4,1,4,Anxiety,"Stopping my school",Family,Student
184,Romania,7,Female,1,1,1,5,1,Anxiety,"Don't know what is happening",Family,Student
187,Romania,16,Female,2,4,3,2,5,Anxiety,"That I don't see my friends",Family,Student
188,Romania,17,Female,2,3,2,4,3,Anxiety,Horses,Family,Student
189,Romania,16,Female,3,4,1,2,4,Anxiety,"To talk to my family or friends",Family,Student
190,Romania,18,Female,4,4,3,2,4,Anxiety,"When I study new songs",Family,Musician
192,Romania,18,Female,4,4,3,2,4,Anxiety,"When I study new songs",Family,Musician
193,Romania,16,Female,2,5,4,4,4,Anxiety,Drawing,Prietenii,Student
194,Romania,15,Female,2,5,3,4,3,Anxiety,"When I spend time with friends",Family,Student
195,Romania,15,Female,3,3,2,4,3,Anxiety,"That I am with my friends",Family,Student
197,Romania,16,Female,2,4,4,2,4,Anxiety,Isolation,Prietenii,Student
199,Romania,16,Female,2,5,4,4,4,Anxiety,Drawing,Prietenii,Student
200,Romania,22,Female,2,4,2,4,2,Anxiety,"Negative thoughts that appear with the occurrence of an unforeseen situation.",Family,Student
206,USA,12,Female,3,2,4,3,2,Bordem,"Not being able to see friends or soccer",Family,School
207,USA,32,Female,2,4,2,2,3,Boredom,"Being stuck at house all the time, and being limited in location ","Opportunity to observe different reactions of people to this unprecedented event! ","Clinical Psychology graduate student"
212,Portugal,13,Female,3,1,1,1,3,Fear,"Because i have no idea what will happend tomorrow",Exercising,-1
214,"USA ",20,Female,5,5,5,1,4,Fear,"I am scared I will pass it on to older family members and it will hurt them immensely. ",Family,"Student/Server "
220,Romania,12,Female,5,4,5,1,5,Fear,"my family.. i think i will lose them",Family,Student
223,USA,23,Female,5,5,5,1,5,Fear,"I am afraid that I will love my loved ones if they become ill or that I will become ill. ",Family,"Graduate Student"
224,USA,19,Female,4,2,3,1,3,Fear,"I am not worried about myself, but I am worried about family and friends who may be more vulnerable as a result of their own health complications or a larger risk of being exposed. I tend to stay calm in situations like this, but I still feel fear for families and individuals all around who are or will be negatively impacted by the pandemic.",Family,"Student "
232,Canada,35,Female,3,3,3,3,3,Fear,"Fear for my loved ones and myself getting sick, fear for others and the hardships they face ","Being alone",-1
233,Canada,23,Female,3,4,3,2,4,Fear,"Constant worry that you can unknowingly contract the virus and spread it to others. Worry that your body is not strong enough to combat it.",Friends,Auditor
234,Canada,33,Female,5,5,3,1,4,Fear,"Unsure what will happen, how long it will last, if we or loved ones will die",Family,"Policy Advisor in government"
237,Romania,35,Female,5,5,5,3,5,Fear,"I am afraidvthat the love ones will get sick",Family,Teacher
239,Switzerland,29,Female,5,2,2,2,2,Fear,"The gravity of the current situation",Work,"Working on COVID response"
244,Romania,7,Female,4,4,4,2,4,Fear,"Fear of unknown",Family,Student
245,Romania,35,Female,5,5,5,1,5,Fear,Nothing,Family,Homemaker
248,Romania,15,Female,3,2,3,3,2,Fear,"The fact that I can't be sure that the moment I come in contact with the virus I won't have the certainty that I'm not going to make anyone else around me sick.",Family,Student
251,Switzerland,27,Female,1,1,2,2,3,Frustration,"The lack of freedom",Friends,"Project Manager"
252,USA,35,Female,4,4,4,3,4,"frustration ","not being able to do things I used to do, not being able to help people, not feeling in control of my life, the future",Family,Student
255,USA,30,Female,1,1,1,4,1,Happiness,"Kids home from school and getting extra family time",Family,-1
260,USA,21,Female,3,3,3,4,3,Happiness,"I am so happy to get the chance to be home with my family during this time. I am able to focus on self-care, doing things such as yoga, gardening, cooking & baking, and spend quality time with my family members and pets. ",Family,Student
262,UK,32,Female,1,2,1,3,2,Happiness,"Spending quality time with my children. ",Family,"Director of an arts company "
267,USA,17,Female,1,3,3,4,3,Happiness,"I think happiness is having the biggest impact on me because having a positive mentality has been the biggest asset in being able to keep productive and allows me to continue to keep myself engaged in things even though I am at home. I feel happy when I talk to friends and family, exercise, and play music","Spending the extra time with family, talking with my friends, getting to exercise and play and practice piano and music",Student
268,USA,16,Female,2,2,2,4,3,Happiness,"The coronavirus has given me a new perspective and allowed for me to start changing my habits(mentally and physically)","Being alone",Student
269,Romania,14,Female,1,1,1,5,1,Happiness,Nothing,"S? faci sport",Student
270,Romania,14,Female,1,1,1,3,5,Happiness,"Hope ",Family,Student
274,Romania,16,Female,3,2,3,4,3,Happiness,"My friends and family",Family,Student
275,Romania,16,Female,1,2,2,4,2,Happiness,Family,Family,Student
276,Romania,27,Female,4,3,5,4,3,Happiness,Family,Family,"Antreprenor "
277,Romania,16,Female,1,2,2,4,2,Happiness,Family,Family,Student
278,Romania,16,Female,2,2,3,3,3,Happiness,"Good news",Family,Student
279,Romania,17,Female,2,1,3,5,2,Happiness,"Family ",Family,Student
280,Romania,16,Female,3,2,1,4,1,Happiness,"Family and those around me",Family,Student
281,Romania,10,Female,4,3,5,3,5,Happiness,"Life is depressing",Family,Student
282,Romania,10,Female,3,1,2,4,2,Happiness,"Not to think about the future, but what is happening now",Family,Student
283,Romania,10,Female,3,1,2,4,2,Happiness,"Not to think about the future, but what is happening now",Family,Student
286,Romania,8,Female,1,1,1,5,1,Happiness,"My parents and my brother",Family,Student
287,Romania,16,Female,3,3,2,1,3,Happiness,"My life changed and not the way I would have wanted to",Family,Student
288,Romania,18,Female,3,3,4,1,5,Happiness,"Fact that my family is healthy",Family,Student
289,Romania,16,Female,1,1,1,3,2,Happiness,Boredom,Family,Student
290,Romania,17,Female,3,1,5,4,5,Happiness,"Time spent with my family",Family,Student
292,Romania,16,Female,2,2,1,2,3,Happiness,"Family and those close to me",Family,Student
293,Romania,17,Female,3,3,3,4,3,Happiness,"Nature is the only thing that makes me feel this way",Family,Student
296,Romania,15,Female,2,2,1,3,2,Happiness,"Relationship with my family and friends",Family,Student
298,Romania,15,Female,3,4,1,5,1,Happiness,"That I am with my grandma that I take care of",Family,Student
308,Romania,15,Female,2,3,2,2,3,"Optimistical concernings","The graduation of secondary school / the future highschool in the field of Architecture :) ",Family,Student
311,Romania,15,Female,1,1,4,2,5,Other,Friends,Other,Student
312,Romania,15,Female,1,1,5,3,3,Other,"The way things changed",Family,Student
314,Romania,15,Female,1,1,4,2,5,Other,Friends,Other,Student
315,Romania,16,Female,2,3,4,2,2,Other,"Communication with friends","Navigarea pe internet",Student
317,Romania,10,Female,3,2,2,2,2,Other,"Lack of activities","Navigarea pe internet",Student
318,Romania,15,Female,3,2,2,4,2,Other,Music,Family,Student
319,Romania,15,Female,1,1,2,5,1,Other,Tiredness,Family,Student
320,Romania,15,Female,1,1,2,5,1,Other,Tiredness,Family,Student
321,Romania,18,Female,2,3,1,4,3,Other,"I am grateful that all my loved ones are healthy and that in this "chaos" I gave myself a lot of time to manage to discover myself better, but at the same time I am sad because I have not seen my friends for some time and also frustrated that I did not value more the moments spent with them, but also the “freedom” I had",Family,Student
322,Romania,16,Female,2,1,3,3,2,Other,"I am not directly affected by this pandemic",Prietenii,Student
328,Portugal,12,Female,2,1,1,1,3,Sadness,"Beacuse milions of people died",Family,Student
333,USA,21,Female,3,4,2,1,4,Sadness,"Not being able to finish school with my friends and teachers.",Friends,"Neuroscience Student"
336,Romania,13,Female,3,3,5,1,5,Sadness,Quarantine,"Being alone",-1
340,USA,33,Female,2,4,2,3,4,Sadness,"Disconnected from people"," part-time job loss"," changing expectations"
341,"USA ",27,Female,4,4,5,1,5,Sadness,"The affect of coronavirus on the most vulnerable populations","Work (helping others by providing emotional support) ","Clinical Psychology Post-Doc "
342,USA,22,Female,3,4,4,1,4,Sadness,"The uncertainty of it all",Family,"Mental Health Worker"
344,USA,30,Female,4,4,3,2,4,Sadness,"Seeing a lot of people struggling and not being able to help them in the ways that I would to be able to.","Working to support my therapy clients (their families) as much as I can right now",Psychologist
345,USA,21,Female,3,3,3,1,4,Sadness,"Missing out on fun social events/not being able to see my friends and a lack of motivation ","My dogs",Student
346,USA,33,Female,4,3,3,1,5,Sadness,"Sad to be postponing so many life events. Sad to see other people suffering. ",Family,Psychologist
347,USA,23,Female,4,4,2,2,5,Sadness,"The response to the virus, the stories of people I know being impacted, the stories of people I don't know being impacted, nostalgia that comes from spending more time with my family, my seeming inability to help during a time when so many people need help",Family,"Community Residence Counselor"
348,USA,18,Female,3,2,2,1,5,Sadness,"I’m holed up in my room without my friends :((",Family,Student
349,USA,26,Female,4,4,3,1,4,Sadness,"I am missing a lot of family events, travel with friends, etc., and I feel lonely not being able to see my loved ones/friends/coworkers during the quarantine.",Exercising,"I work for a nonprofit"
350,UK,27,Female,3,4,3,1,5,Sadness,"Because it has hurt so many people.",Friends,Translator
365,USA,27,Female,3,3,2,1,5,Sadness,"Knowing the most vulnerable populations and countries will suffer greatly","My faith in Jesus Christ","Vocational Rehabilitation Counselor"
366,Australia,30,Female,3,3,2,2,4,Sadness,"Because I can't feel friends and feel less of a sense of purpose. Also because I'm single and feel a longing for intimate connection with a partner which I will be unable to find until after this is all over.",Friends,"Teacher and Performance Maker"
367,Canada,22,Female,2,2,2,1,4,Sadness,"Mostly seeing other people's negative emotions such as stress, anxiety, sadness, regret, nostalgia, etc. That makes me sad too. ",Friends,"Receptionist & student"
370,Romania,33,Female,3,2,3,1,5,Sadness,"The fact that many people die every day","My job, my family",Teacher
373,"USA ",21,Female,4,5,4,1,5,Sadness,"I lost time with my friends, internship, and pursuing my hobbies before I have to move back home.",Friends,"Student / Intern"
379,"China ",33,Female,4,4,3,2,5,Sadness,"I feel sad the most because it is heartbreaking to see the impact of COVID on families and business, which is in essence people. ","Being alone","International Organization "
384,"USA ",15,Female,2,3,4,3,3,Sadness,"My orthodox Easter has to be celebrated over live stream, My freshman year which I loved ended, and I couldn't experience my 1st year of track for the school.","God and having faith in him, and during this time many people are coming together","Student "
387,Romania,15,Female,2,2,3,2,2,Sadness,"Situation generally",Family,Student
388,Romania,7,Female,2,1,2,1,3,Sadness,"Family games",Family,Student
393,Romania,16,Female,2,3,4,3,3,Sadness,Nature,Family,Student
395,Romania,17,Female,2,2,3,1,4,Sadness,"Time spent with my family",Family,Student
396,Romania,18,Female,3,3,3,1,5,Sadness,"Loved person",Family,Student
398,Romania,16,Female,2,2,4,4,5,Sadness,"Can't see someone important to me","S? faci sport",Student
399,Romania,14,Female,2,1,1,5,1,Sadness,Family,Family,Student
401,Romania,17,Female,2,4,5,3,4,Sadness,"Lack of liberty and missing those dear to me","S? fii singur",Student
402,Romania,16,Female,3,4,5,5,5,Sadness,"That I can't see people dear to me",Family,Student
403,Romania,18,Female,3,5,4,2,5,Sadness,"the whole period with the pandemic in which I can't see many of my loved ones, the cancellation of all festive events and some family health problems (not related to the virus).",Other,Student
410,Switzerland,31,Female,3,4,2,4,5,Uncertainty,"Not knowing when it will end","Taking time to do things I never had time before: Trying hobbies for the first time","Impact Measurement Specialist"
