id,WhatCountryDoYouLiveIn,HowOldAreYou,WhatIsYourGender,ToWhatExtentDoYouFeelFEARDueToTheCoronavirus,ToWhatExtentDoYouFeelANXIOUSDueToTheCoronavirus,ToWhatExtentDoYouFeelANGRYDueToTheCoronavirus,ToWhatExtentDoYouFeelHAPPYDueToTheCoronavirus,ToWhatExtentDoYouFeelSADDueToTheCoronavirus,WhichEmotionisHavingTheBiggestImpactOnYou,WhatMakesYouFeelThatWay,WhatBringsYouTheMostMeaningDuringTheCoronavirusOutbreak,WhatIsYourOccupation
297,Romania,15,Male,2,2,4,3,3,Happiness,God,Family,Student
306,Switzerland,29,Male,1,1,1,3,3,-1,"Not a person that generally feels a lot of strong emotions.","Chatting with colleagues on Teams throughout the day.","Data Scientist"
310,Romania,15,Male,2,4,1,2,1,Other,"8th grade exam",Other,Student
313,Romania,16,Male,3,2,4,2,4,Other,"Time wasted",Family,Student
316,Romania,16,Male,2,2,2,3,1,Other,"Optimism and search for new things",Family,Student
326,"Ireland l",26,Male,2,2,2,3,3,Powerlessness,"Stuck at home, no control over my life",Reading,Teacher
330,USA,-1,Male,1,2,1,1,4,Sadness,"Seeing the global impact the virus has on people's health, their income and emotional wellbeing. It has created a great deal of uncertainty for individuals around the world.",Friends,-1
332,USA,30,Male,2,3,1,1,5,Sadness,"I feel sad for the lives lost and soon to be lost",Reading,-1
343,USA,23,Male,5,4,2,1,5,Sadness,"I am worried the health and wellbeing of my more vulnerable loved ones","Taking it day by day with the support of my loved ones, and trying to keep an optimistic long term perspective","Mental Health Care"
369,Germany,20,Male,3,4,2,1,5,Sadness,"People dying, being far away from friends and family",Family,Student
392,Romania,14,Male,2,3,4,1,5,Sadness,"Less time to spend with people I care about",Family,Student
394,Romania,17,Male,3,2,4,1,4,Sadness,"That all my plans were cancelled by this pandemic",Family,Student
397,Romania,18,Male,2,3,4,2,4,Sadness,"Staying in house 24/24",Prietenii,Student
400,Romania,18,Male,2,3,1,2,5,Sadness,"Lack of social connections","S? fii singur",Student
404,Romania,18,Male,1,4,4,2,5,Sadness,"To listen to music",Family,Student
405,Romania,15,Male,3,3,2,4,2,Sadness,"I can't think of an answer",Family,Student
411,Canada,23,Male,4,4,3,2,3,"Uncertainty ","It is still to early to understand the degree in which this will impact the world.",Friends,Unemployed
