id,WhatCountryDoYouLiveIn,HowOldAreYou,WhatIsYourGender,ToWhatExtentDoYouFeelFEARDueToTheCoronavirus,ToWhatExtentDoYouFeelANXIOUSDueToTheCoronavirus,ToWhatExtentDoYouFeelANGRYDueToTheCoronavirus,ToWhatExtentDoYouFeelHAPPYDueToTheCoronavirus,ToWhatExtentDoYouFeelSADDueToTheCoronavirus,WhichEmotionisHavingTheBiggestImpactOnYou,WhatMakesYouFeelThatWay,WhatBringsYouTheMostMeaningDuringTheCoronavirusOutbreak,WhatIsYourOccupation
175,USA,70,Female,3,5,5,1,3,Anxiety,"I am worried about the future of my children and grandchildren",Family,Retired
177,USA,73,Female,3,3,2,2,3,Anxiety,"uncertainty about my health and how long we'll have to stay home and worry about others",Family,"Managing director"
178,USA,54,Female,5,5,5,1,1,Anxiety,"My mother and brother were both hospitalized due to covid 19 and hopefully will be okay. I haven't been able to see either one. I am worried more of my friends and family will get it and not be ok.",Family,Lawyer
179,USA,46,Female,4,5,4,1,5,Anxiety,"Lack of structure, seeing my kids unproductive and worried for my loved ones who are fighting the virus. ",Family,"Yoga teacher"
186,Romania,41,Female,3,4,3,2,3,Anxiety,"Excesul de tehnologie",Family,Teacher
196,Romania,54,Female,5,4,3,3,4,Anxiety,"Worries about my family",Family,Teacher
198,Romania,36,Female,4,4,5,2,3,Anxiety,"Lack of social connections",Family,Teacher
201,USA,36,Female,4,4,2,1,3,Anxiety,"That what is happening is so out of my control and the lack of response from the US government. ",Family,"UX Designer"
202,USA,64,Female,4,4,1,1,3,Anxiety,"Fear of the unknown, what will happen? Loved ones or myself contracting the disease. ",Family,"psychotherapist/social worker"
208,USA,54,Female,5,5,1,3,3,"Conflicted.   ","I've spent a lot of time reflecting on what is important and appreciating my many blessings.  You don't always realize how good your life is until you slow down and look at it more closely.  Im appreciating the little things.  But I also feel very sad for all the suffering that the virus brings to so many.",Family,Realtor
210,USA,61,Female,2,2,1,1,4,"Empathic concern","I am concerned how the virus is affecting others.",Family,"Administrative assistant "
211,USA,73,Female,3,3,1,3,3,"Empathy for directly affected people","I sequestered myself and am purposeful and busy, but I feel am concerned for others.","I find meaning in all of the above, but most important is my connection with my church through Zoom.","I am a retired Human Resources manager"
217,USA,78,Female,4,3,2,1,2,Fear,"Not knowing when this will end and worrying about family and friends",Family,Retired
218,USA,67,Female,5,3,3,1,5,Fear,"All of the unknowns and lack of resolution",Family,"Professor and Architect"
219,USA,50,Female,5,5,2,1,5,Fear,"Afraid of loosing loved ones",Family,Banker
221,USA,83,Female,4,5,2,1,4,Fear,"FEAR THAT FAMILY AND FRIENDS AND MYSRLF WILL GET THE V IRUS",Family,Teacher
226,UK,58,Female,5,3,4,1,4,Fear,"Because there are people not following the rules putting everyone at risk. Also the NHS isn’t going to be able to cope.",Friends,"CEO of a charity "
227,UK,50,Female,5,5,4,1,5,Fear,"Worried about family and friends being so far away and my own health","Keeping myself busy, to stop myself going insane","Civil servant"
228,USA,69,Female,4,3,2,1,3,Fear,"Danger of death",Family,Educator
229,USA,39,Female,4,4,2,2,3,Fear,"I have loved ones who would be at a greater risk, and I want to do my part to keep them safe. ","Sewing projects",Sales
231,USA,59,Female,5,4,4,1,5,Fear,"Not knowing if I could come down with it at any time",Family,Teacher
236,Romania,59,Female,3,2,2,1,2,Fear,"uncertainty about future","Being alone","Teacher "
238,Romania,38,Female,3,1,1,3,3,Fear,"Sickness ","Surfing the web",Teacher
240,USA,73,Female,4,3,1,1,3,Fear,"Fear because we don’t have any facts about this virus",Family,"Retired attorney"
241,USA,72,Female,5,2,1,1,3,Fear,"Don’t want to get it because I’m in a high risk hroup",Exercising,Retired
242,USA,52,Female,4,3,1,3,3,Fear,"Fear of death or death of family/friends",Family,"Pre-school teacher part time"
249,USA,59,Female,3,3,3,3,3,Financial,"Stock markets/investment money saved is down","Recuperating from surgery","Court teporter"
253,USA,52,Female,2,1,1,2,1,"Frustration, disappointment","I'm frustrated by the inconveniences, and disappointed by the loss of some of my family business.","Being alone","Stay at home mom"
254,USA,60,Female,3,3,4,3,4,Frustration/fear,"Uncertainty of the unknown and fear for loved ones","Connecting with others (friends, family, people in general)","Mental health therapist"
257,USA,77,Female,2,2,1,4,1,Happiness,"A big change for the good may come from this. ","Meditating, walking, reading and viewing uplifting material, enjoying nature",Retired
259,Romania,45,Female,4,3,2,4,2,Happiness,"I stai more time with my love",Family,Psychologist
263,UK,45,Female,2,3,1,4,2,Happiness,"We are all being given extra time and in my case space to catch up with the people and hobbies/work that normally have to set aside due to making a living.",Friends,Chef
264,Canada,55,Female,4,4,1,3,3,Happiness,"I’m moved by the goodness of people at this time.",Family,Psychologist
265,"Romania ",55,Female,1,1,3,1,3,Happiness,"Living ",Reading,"Teacher "
266,"UK ",53,Female,2,2,3,4,3,Happiness,"The relentless, unapologetic beauty of Nature and the advance of Spring",Family,Consultant
285,Romania,41,Female,1,2,1,4,2,Happiness,Family,Family,"Office clerk"
291,Romania,37,Female,4,3,2,4,1,Happiness,"I am simple and sincere",Family,"Sales assistant"
294,Romania,49,Female,2,2,1,3,2,Happiness,"conexiunea cu oamenii, sentimentul de apreciere si autonomie",Family,Teacher
299,Romania,54,Female,3,3,3,4,3,Happiness,"Starea de bine/s?n?tatea",Family,Teacher
300,Switzerland,37,Female,5,5,4,4,4,Hope,"Fear because of my parent and old relatives and friends. Hope because I do hope that this make us awake, more compassionate about people, animal and nature. I have hope because I want to believe in the good inside of each of us to evolve and transform us and bad situations into opportunities to correct things or improve.","1. family"," 2. friends"
301,USA,74,Female,2,2,1,1,5,"Hope  -  that we'll get through this and maybe even be better for it","Even terrible situations are learning experiences",Family,"Retired teacher"
303,USA,45,Female,2,2,3,3,2,"It matters what day and the situation.","The situation is constantly changing - so the outcome varies.  ",Family,"Law/ Professor"
305,USA,46,Female,3,2,1,1,3,"Loneliness, miss interaction with others. ","I’m an extrovert that enjoys being around and interacting with people. I am also someone that gets joy out of helping and doing things for others. ","Roommate and doggies. ","Administrative Assistant "
307,USA,67,Female,2,2,2,1,3,None,"I have gratitude, hope and faith.",Friends,Researcher
309,Romania,42,Female,2,2,2,4,3,Other,"My choice",Family,Facilitator
323,USA,60,Female,1,1,1,1,1,"Peace, God is in control","Faith in God",Family,Retired
324,Canada,39,Female,1,2,1,4,3,Peaceful,"Knowing that we are all in this together. Remaining moment to moment. I no longer have anxiety and pressures from work. I am much calmer and able to take life slower.",Family,"Theatre artist, actress, director and producer"
329,USA,66,Female,3,2,1,1,1,Sadness,"For people who are suffering and fearful. ",Friends,-1
331,Romania,58,Female,4,4,2,2,5,Sadness,"I am a social person,I like being with people,I feel sad for being disconnected and not being in control of my life .",Family,-1
334,USA,70,Female,3,3,3,3,3,Sadness,"Knowing the pain, anguish and loss this is going to cause people",Family,Retired
335,Romania,47,Female,4,4,5,3,4,Sadness,"The incertity of the future",Family,Teacher
337,"Romania ",45,Female,2,2,1,1,2,Sadness,"Imposibility to see live my mother, my grandmother and my brother","Webinars (with friends, pupils, colegues) and call mother, grandmother and brother",Teacher
339,USA,52,Female,3,3,5,2,4,Sadness,"I feel that the U.S. should have been more prepared and now we will have a lot of senseless deaths.",Family,Administrator
352,USA,71,Female,4,4,4,1,5,Sadness,"Number of people who need help and have no way to gt it"," indifference to varied needs"," insensitivity to the reality of others"
353,USA,62,Female,3,4,2,1,5,Sadness,"I'm sad because i am not able to interact with my friends in person",Family,Scientist
354,USA,62,Female,3,3,3,1,4,Sadness,"Impact on those with virus and their families, deaths as a result of virus,  attitude of many millennials, overworked healthcare workers, lack of equipment for healthcare workers, hoarders, elderly, unemployment, etc. ",Family,"Retired Educator"
355,USA,77,Female,2,2,3,1,4,Sadness,"Those not caring about others ",Friends,Retired
356,USA,63,Female,2,2,2,3,4,Sadness,"Because the children are missing out on education , graduations proms sports ie",Family,"Self Employed "
357,USA,76,Female,2,2,1,1,4,Sadness,"Feel badly for all the people sick, dying, losing their jobs all around the world.",Family,Teacher
358,USA,62,Female,3,3,1,1,4,Sadness,"Seeing the number of individuals and families that have been affected.  Not only those who have contracted the virus, but also the first responders and doctors and nurses who work tirelessly at their jobs.","I would say the internet, not necessarily surfing the web,","Retired teacher "
359,USA,45,Female,2,4,1,1,4,Sadness,"Being unable to Be a part of my community. ","Being alone","Case Manager"
360,USA,74,Female,2,1,4,1,4,Sadness,"The people it’s hurting ",Friends,Retired
361,USA,73,Female,2,2,4,2,4,Sadness,"My husband who was lots of fun and comfortable to be with passed away in June and I miss him now so very much. But I also feel great anger at Trump for his lying, bragging and blaming of others.",Friends,"retired teacher"
362,USA,57,Female,3,3,5,1,5,Sadness,"Cannot go about normal life.",Family,"Secretary "
363,USA,38,Female,3,3,3,2,5,Sadness,loneliness,Family,Teacher
364,USA,58,Female,3,3,3,1,4,Sadness,Lonliness,"Surfing the web",Manager
368,Canada,37,Female,4,4,3,2,4,Sadness,"The hardship and tragedy that so many people have to experience because we don't have good systems in place for handling an emergency like this.",Exercising,"University Writing Instructor"
371,Romania,43,Female,2,2,2,3,5,Sadness,"To many questions in my mind for example : Is that for real? ",Exercising,"Director "
372,Romania,55,Female,1,2,2,1,3,Sadness,"The situation of Italy",Family,Doctor
374,"Romania ",37,Female,3,3,4,4,5,Sadness,"That a can’t help people ",Family,"Teacher "
375,"USA ",57,Female,4,3,1,1,5,Sadness,"Because people are dying including my friend’s brother who died of Covid19 ",Family,"Director of Insurance "
376,USA,61,Female,3,4,3,1,5,Sadness,"Loss of life and stress on front line public servants and health care workers",Family,Physician
377,Switzerland,55,Female,3,3,5,1,5,Sadness,"So many peoples are ill",Family,Nurce
378,Switzerland,39,Female,1,3,2,1,3,Sadness,"the human toll the pandemic is taking both in terms of lives and livelihoods","both family and friends",Researcher
380,Germany,45,Female,2,3,2,1,3,Sadness,"Uncertainty, when can I travel again to see people that I love? When can I do things again that I love, probably not this year anymore. ","Friends but also work!",Manager
381,Canada,38,Female,5,5,2,3,5,Sadness,"Trauma from my childhood that has re-emerged in this stressful situation. ",Exercising,Artist
382,USA,68,Female,3,3,2,1,5,Sadness,"Isolation from family and friends",Family,Retired
383,USA,70,Female,3,1,1,1,3,Sadness,"See others suffer",Family,"Clinical socialworker"
385,USA,52,Female,3,3,5,1,5,Sadness,"I am sad for my kids who are missing out on so many things!!!",Family,Mother
386,USA,68,Female,3,2,2,1,4,Sadness,"Not able to see daughter and grandchildren.",Family,Retired
389,Romania,44,Female,4,5,2,3,1,Sadness,"Nothing in particular",Family,"Quality controller"
390,Romania,38,Female,1,1,2,1,5,Sadness,"I want coronavirus to disappear",Family,"Operator "
391,Romania,44,Female,3,2,1,1,2,Sadness,"Nazdravaniile copilului meu",Family,Cashier
408,Canada,59,Female,2,2,1,4,3,"Transformation ","Everything except how I behave is out of my control, but I can choose to feel grateful for what I do have, good health, available food, comfortable surroundings.  I can allow this very serious health concern be transformative.  I feel the pressures put on populations have given the physical world a break, kind of like a bit of natural medicine.","Technology that has allowed me to not worry about my family and loved ones",Retired
409,Portugal,47,Female,2,1,1,1,3,Uncertainty,"Not knowing how tomorrow will be","Work.      Thank you! Lots of hugs from Portugal!",-1
413,USA,70,Female,1,2,1,1,1,Worry,"Concerned for all who are sick and for the effects on the world long term",TV,"Retired teacher"
414,Usa,73,Female,3,4,2,1,3,Anxiety,"Not being able to be with friends and family",Family,"Professor "
